"PLOTID","longitude","latitude","SIZEM","SHAPE","FLAGGED","ANALYSES","SAMPLEPOINTS","USERID","BUILTSURFACE","BUILTVEGNONTREE","BUILTTREE","MINING","MUDFLATBEACH","BARRENOTHER","TREEPLANTATIONORCHARD","TREEMANGROVE","TREEOTHER","SHRUB","GRASS","CROP","AQUACULTUREPOND","AQUATICVEGOTHER","WATER","SNOWICE","UNKNOWN","OTHER"
54,104.3113354,12.84503808,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,103.9409848,13.05188182,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,103.9948912,12.82705167,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,104.6816436,12.73711961,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,104.089299,13.0204056,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,103.8780893,12.91248712,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,104.1229134,12.74611282,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,103.885339,12.88550751,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,104.4851908,12.65168415,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,103.8885443,13.06986823,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,104.1112521,12.86302449,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,105.0151652,11.0508935,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,104.3718288,12.7236298,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,105.9961908,12.70564339,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,104.0169729,13.07886143,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,103.8258097,13.07436483,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,104.4650953,12.78208564,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,103.7762068,13.24073914,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,104.2584756,12.63819434,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,104.2823935,12.67416717,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,105.3047538,11.16780518,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,104.8143116,11.76135677,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,104.4625309,12.51678606,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,105.8347058,13.99167184,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,104.1107766,12.93946674,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,105.0773919,11.89625486,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,104.1076274,12.8765143,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,104.2392917,12.57973851,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,105.044243,11.94122089,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,104.2423936,12.89000411,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,104.2668588,12.60222152,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,104.0418448,12.79557545,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,105.2725325,11.39263532,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,105.1116237,11.97269711,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,104.135103,12.83154827,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,105.3847045,11.41062174,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,105.2075399,10.96096144,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,105.4929063,11.93672428,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,104.373723,12.61571133,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,104.0381721,13.15080708,30,"square","false",1,25,"admin@sig-gis.com",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
94,104.8426436,11.95471069,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,104.8634075,11.97269711,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,104.1671708,12.67416717,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,104.4198015,12.61571133,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,103.9969251,12.8765143,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,104.4910868,12.82255507,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,104.2786999,12.68765698,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,104.2768752,12.66067736,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,104.8336811,12.08511218,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103.8701664,13.22275273,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,103.9777105,12.90799052,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,103.7139135,13.21375952,30,"square","false",1,25,"admin@sig-gis.com",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
106,104.0388784,10.13358649,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,103.8730339,13.16429689,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,104.8086407,11.73437715,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,105.299875,11.93672428,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,105.8223806,14.00516164,30,"square","false",2,25,"admin@sig-gis.com",0,0,0,0,16,0,0,0,0,0,0,0,0,0,84,0,0,0
111,104.4769128,12.71013999,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,105.3130231,11.46458097,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,105.0020823,11.00143087,30,"square","false",1,25,"admin@sig-gis.com",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
114,104.2028927,12.91698373,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,104.2434003,12.90349392,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,105.0230363,11.6579349,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,104.1283743,12.94845995,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,104.2243175,12.67866377,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,103.83657,12.91248712,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,103.980042,13.07886143,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,104.0492894,10.15157291,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,105.7450032,12.2604797,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,104.6634809,12.48980645,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,103.9573434,13.0249022,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,104.6080088,12.38638458,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,103.8807687,13.0293988,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,104.0362648,13.14631048,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,104.2557505,12.62020793,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,104.0071809,13.11033766,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,103.8434799,12.98443277,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,105.0509983,11.58598925,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,104.7555063,12.08511218,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,105.3096516,11.18129498,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,103.8798056,13.11483426,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,104.0450128,13.1777867,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,105.0525955,11.74786696,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,104.8315884,11.91424127,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,105.4059716,11.40612513,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,104.5756827,12.55725549,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,105.927209,13.32167799,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,103.9137284,12.99792258,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,106.0031395,12.63369774,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,104.11224,12.8765143,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,104.8095326,11.99967672,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,105.1452193,11.56800284,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,104.0567885,12.99792258,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,104.8488488,11.92323447,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,104.3391298,12.98892938,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,103.9594482,13.05188182,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,105.1993938,11.29371006,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,104.0887275,12.95295655,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,104.811404,12.29645252,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,105.3616728,11.88276505,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,104.2233901,12.68765698,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,104.2355567,12.59322831,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,104.2381445,12.67866377,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,103.8199852,12.91698373,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,103.6532312,11.07337651,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,104.2519237,12.93497014,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,104.9677947,11.26223384,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,103.8388286,13.08335804,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,103.7979128,12.93047354,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,104.4566643,12.61571133,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,104.091099,13.10134445,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,104.4967083,12.49879965,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,103.8820358,13.06537163,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,104.0536339,13.13282067,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,104.1804373,12.86302449,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,104.8320543,11.85578543,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,104.3654021,12.74161621,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,105.4655615,11.97269711,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,104.1546301,12.8675211,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,105.079274,11.56350624,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,104.3223212,12.82705167,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,105.0189581,11.67142471,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,104.3828984,12.7281264,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,104.3004877,12.88550751,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,103.3128815,13.80281451,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,105.0194771,11.68491452,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,104.1297015,12.86302449,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,104.0115727,13.16429689,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,104.8411167,12.08061558,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,103.8743713,13.12382746,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,104.8647836,12.15256122,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,104.8304301,11.74337035,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,104.8197819,12.38638458,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,104.4132934,12.70114679,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,105.3192568,11.37015231,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,104.3244195,12.8765143,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,104.9852111,11.08236972,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,104.0232406,13.06087502,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,104.0605601,13.00691579,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,103.7774628,13.20026971,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,104.3213504,12.5662487,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,105.0232983,11.85128883,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,104.2872915,12.83154827,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,105.2744104,11.29820666,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,103.9286209,12.8675211,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,104.0134323,13.09235124,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,104.8189441,12.03564955,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,104.1866525,12.96644636,30,"square","false",1,25,"admin@sig-gis.com",0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0
202,104.8708366,12.46732343,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,103.4674354,12.89000411,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,103.346397,13.04288861,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,103.1748767,13.24973235,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,104.929002,12.44034381,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,104.8101638,12.32792874,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,104.8412769,12.48530984,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,104.1537002,12.99792258,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,104.9332437,12.35940496,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,104.6099972,12.80906526,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,104.9897146,12.45383362,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,104.2670814,12.84953468,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,103.1099149,13.41161005,30,"square","false",0,25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
